epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,9041.11,0.85909,0.55877,1.07166,0.97891,0.97882,0.99253,0.83912,0.67742,0.31813,0.91182,0.003664,0.003664,0.003664
66,9168.36,0.86017,0.55178,1.07101,0.97464,0.98849,0.99203,0.84237,0.68097,0.32055,0.91566,0.003565,0.003565,0.003565
67,9296.02,0.85366,0.55634,1.0647,0.97777,0.98109,0.99178,0.84003,0.67857,0.31799,0.9133,0.003466,0.003466,0.003466
68,9423.05,0.85906,0.55178,1.06521,0.96494,0.98336,0.99084,0.84198,0.67541,0.3197,0.90956,0.003367,0.003367,0.003367
69,9550.34,0.85499,0.54784,1.0635,0.96887,0.98869,0.99165,0.84248,0.67046,0.31943,0.90891,0.003268,0.003268,0.003268
70,9678.44,0.84301,0.5458,1.05911,0.96698,0.98563,0.99019,0.8422,0.66855,0.31928,0.90437,0.003169,0.003169,0.003169
71,9805.91,0.84168,0.54173,1.06088,0.97739,0.98083,0.9915,0.8469,0.67287,0.31597,0.90276,0.00307,0.00307,0.00307
72,9933.3,0.82709,0.52858,1.0478,0.97437,0.98033,0.99179,0.84424,0.67684,0.31473,0.90483,0.002971,0.002971,0.002971
73,10060.1,0.82834,0.52498,1.05615,0.97253,0.9826,0.99176,0.8425,0.6704,0.31331,0.90763,0.002872,0.002872,0.002872
74,10187.3,0.82461,0.52857,1.05309,0.97871,0.97366,0.99188,0.84512,0.66376,0.3109,0.90395,0.002773,0.002773,0.002773
75,10314.1,0.80623,0.51835,1.03824,0.97303,0.98714,0.99191,0.8487,0.65847,0.30715,0.90341,0.002674,0.002674,0.002674
76,10441.7,0.8115,0.52029,1.0456,0.97421,0.98411,0.99172,0.85267,0.65489,0.30512,0.9007,0.002575,0.002575,0.002575
77,10569,0.80487,0.50705,1.03737,0.97669,0.98271,0.99168,0.85192,0.63737,0.30404,0.89547,0.002476,0.002476,0.002476
78,10696.2,0.80828,0.51569,1.03574,0.97882,0.98336,0.99126,0.85084,0.63902,0.29776,0.89415,0.002377,0.002377,0.002377
79,10823.1,0.80038,0.51479,1.03493,0.98051,0.98411,0.99143,0.85045,0.64253,0.29792,0.89449,0.002278,0.002278,0.002278
80,10949.8,0.78996,0.50246,1.03069,0.9826,0.98239,0.99154,0.85025,0.64711,0.29968,0.89547,0.002179,0.002179,0.002179
81,11077,0.78181,0.5013,1.02885,0.97796,0.98411,0.99151,0.85322,0.63577,0.29535,0.89063,0.00208,0.00208,0.00208
82,11204.4,0.77901,0.48979,1.02425,0.9753,0.98557,0.99125,0.85281,0.63531,0.29728,0.88932,0.001981,0.001981,0.001981
83,11331.9,0.77242,0.48065,1.0199,0.98186,0.98289,0.9913,0.85422,0.63069,0.29518,0.88782,0.001882,0.001882,0.001882
84,11459,0.76438,0.48268,1.01274,0.98115,0.98487,0.99181,0.85771,0.62571,0.29347,0.88708,0.001783,0.001783,0.001783
85,11586.4,0.76298,0.4795,1.01543,0.98087,0.98638,0.99163,0.8553,0.62768,0.29388,0.88833,0.001684,0.001684,0.001684
86,11713.2,0.76027,0.48684,1.01625,0.98192,0.98593,0.9912,0.85668,0.62717,0.29105,0.88753,0.001585,0.001585,0.001585
87,11840.2,0.75908,0.48084,1.01955,0.98015,0.98714,0.99089,0.85877,0.62387,0.29002,0.88572,0.001486,0.001486,0.001486
88,11967.9,0.75482,0.47554,1.01142,0.98091,0.98638,0.99105,0.85859,0.62236,0.28837,0.88511,0.001387,0.001387,0.001387
89,12094.9,0.75995,0.47742,1.01902,0.98024,0.98865,0.99134,0.85968,0.61777,0.28632,0.88409,0.001288,0.001288,0.001288
90,12222,0.75034,0.47033,1.00947,0.98166,0.98563,0.99156,0.86119,0.61323,0.28293,0.88218,0.001189,0.001189,0.001189
91,12351.9,0.63949,0.33177,0.95193,0.98118,0.98595,0.99201,0.86384,0.61155,0.28231,0.88124,0.00109,0.00109,0.00109
92,12478.6,0.63579,0.32986,0.94566,0.97614,0.99027,0.99189,0.86608,0.60846,0.2842,0.88065,0.000991,0.000991,0.000991
93,12605.3,0.63086,0.32937,0.94729,0.97753,0.98722,0.99212,0.86734,0.60795,0.28233,0.88059,0.000892,0.000892,0.000892
94,12731.8,0.6255,0.32427,0.94401,0.97467,0.98962,0.99226,0.86929,0.60812,0.28204,0.87891,0.000793,0.000793,0.000793
95,12858.3,0.62161,0.32428,0.93876,0.97731,0.98941,0.99256,0.87093,0.60621,0.2794,0.87934,0.000694,0.000694,0.000694
96,12984.8,0.61391,0.315,0.93683,0.98334,0.98207,0.99237,0.87011,0.60512,0.27824,0.87901,0.000595,0.000595,0.000595
97,13111,0.61182,0.31752,0.93929,0.977,0.99017,0.99239,0.87274,0.60357,0.27777,0.87877,0.000496,0.000496,0.000496
98,13237.6,0.61151,0.31382,0.93641,0.97974,0.98759,0.99232,0.87168,0.60467,0.27737,0.87866,0.000397,0.000397,0.000397
99,13364.1,0.59773,0.30631,0.93124,0.98071,0.98714,0.99217,0.87247,0.60503,0.2765,0.87828,0.000298,0.000298,0.000298
100,13490.6,0.59264,0.30362,0.92824,0.98196,0.98822,0.99227,0.87344,0.60346,0.27602,0.87789,0.000199,0.000199,0.000199
